refseq_name	AP_SK_MllAF9_BMTs_01_wtGMP_1	AP_SK_MllAF9_BMTs_02_wtGMP_2	AP_SK_MllAF9_BMTs_03_wtGMP_3	AP_SK_MllAF9_BMTs_04_wtGMP_4	AP_SK_MllAF9_BMTs_05_LTearly_1_M2grD2	AP_SK_MllAF9_BMTs_06_LTearly_2_M3grE2	AP_SK_MllAF9_BMTs_07_LTearly_3_M4grLT3	AP_SK_MllAF9_BMTs_08_LTearly_4_M2grLT5	AP_SK_MllAF9_BMTs_09_LTlate_1_M2grLT3	AP_SK_MllAF9_BMTs_10_LTlate_2_M6grLT3	AP_SK_MllAF9_BMTs_11_LTlate_3_M3grD2	AP_SK_MllAF9_BMTs_12_LTlate_4_M3grG2	AP_SK_MllAF9_BMTs_13_BMTGMP_1_M1grV	AP_SK_MllAF9_BMTs_14_BMTGMP_2_M2grV	AP_SK_MllAF9_BMTs_15_BMTGMP_3_M1grW	AP_SK_MllAF9_BMTs_16_BMTGMP_4_M1grX
XM_003084919	1790.76006	551.30764	1209.04621	835.25919	887.643	1262.47564	651.74765	1993.85997	1674.21752	2805.01907	2272.29934	3508.56261	2618.84788	2115.92615	2837.21619	908.25778
XM_003084920	0	8	0	0	9	7	9	0	0	4	0	13	13	0	0	13
XM_003084925	3.61353	0.59704	0.14286	0	2.57544	1.01429	5.04816	0.02	0.59904	0.24426	0	0.05882	2.11471	0	1.50425	1.99979
XM_003084931	54.59167	14.38333	18.9619	18.84524	7.19841	11.77183	6.35714	25.6131	20.07341	56.01032	50.56548	96.31548	69.59643	42.83333	59.98214	21.96429
XM_003084935	6	0	0	0	0	15.83333	0	9	0	1.16667	15	23	6.1	2	15	12.5
XM_003084938	3.48864	0	0	0	5.5	11	0	10.15	0	6.125	2.1	0.5	5.5	0	6	18.86364
XM_003084942	102.35208	35.46346	35.66541	36.60564	74.52223	68.96642	61.63242	126.46803	189.06844	236.38296	232.74526	274.74723	205.28836	120.29461	185.86618	96.99162
XM_003084943	21	7	23	13	19	0	2	0	0	15	0	22	8	30	18	0
XM_003084980	0.50934	0.89228	0.46324	0.07407	1.83107	1.90804	3.31003	1.57981	1.7124	3.16152	0.92274	0.94711	0.53871	2.913	1.19809	2.26298
XM_003084981	0.50934	0.89228	0.22	0.07407	1.4763	0.60239	2.24485	1.57981	1.13645	2.90795	0.59841	0.94711	0.26371	1.93333	0.99809	2.26298
XM_003084982	0.01923	0.54902	0	0.6	1.15553	1.27586	3.55024	0	0.77778	20.38495	0.35556	0.23636	0.03922	0	0.56111	1.15462
XM_003084987	0.01923	0.15686	0	0	2.17458	1.77456	4.02083	0	0.84921	1.39664	0.35556	0.23636	0	0.79048	0.56111	1.38992
XM_003084988	0.01923	0.15686	0	0.64444	1.69164	2.36988	0.81194	0	0.59921	1.02356	0.35556	0.23636	0	0.79048	0.66667	1.22881
XM_003084989	0.50934	0.54902	0	0	0.77608	1.48885	1.61345	0	0.64921	2.0395	0.49841	0.23636	0.03922	0.79048	0.56111	1.78277
XM_003084992	0	0.80882	0	0	0	0.57143	1.89744	0	0.92308	0.45588	0	0.23636	1.11064	0	0	0.32727
XM_003084993	0	0.39216	0	0	0.92857	0	1.11429	0	0	0.45588	0	0	0.03922	0.26667	1.875	1.77381
XM_003084996	0.49011	7.34327	0.46324	0.67407	1.40887	2.63218	3.8563	0.02041	1.20737	1.62221	0.56718	0.3913	0.69949	0.97967	0.2	1.35836
XM_003084997	0.83102	7.34327	0.22	0.67407	1.51105	2.2538	3.26171	0.02041	1.20737	1.39721	0.24286	0.3913	0.42449	0.79048	0	1.35836
XM_003084998	0.49011	7.34327	0.22	0.67407	1.35887	2.2538	3.26171	0.02041	1.20737	1.39721	0.24286	0.3913	0.42449	0.79048	0	1.35836
XM_003084999	0.49011	7	0	0.64444	0.50604	1.80831	1.9548	0	0.59921	1.23281	0.14286	0	0	0.79048	0.35556	0.71704
XM_003085001	0.50934	0.15686	0	0	0.77608	1.48885	4.79526	0	0.84921	1.5895	0.49841	0.23636	0	0.79048	0.56111	1.78277
XM_003085008	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
XM_003085023	0.05	0	0	0	20.09286	2.02857	0	2.25	0.4	1.68571	0	0.6	0	0.05882	0	1.25
XM_003085024	1.65	0	0	0.72222	2.45	0	0	0	6.04386	1.46667	0.825	0	0	0	1.06667	0.85714
XM_003085025	0	0.31111	0.20513	0	3.27357	4.82326	0.66897	3.58974	0.4359	2.10962	0	1.89957	0.12479	0	0.07009	1.57665
XM_003085026	0	0.85657	0.20513	0	5.31061	0.68132	1.31429	0.58974	0.4359	2.10962	0	2.75251	0.26764	0	1.14509	3.41468
XM_003085029	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
XM_003085040	0	0	0	0	4.1	2.94286	3.62525	2.66667	1.75	2.4	0	0	0	0.14286	0	0.08333
XM_003085052	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
XM_003085055	1.66667	1	0	0.66667	2.5	0.83333	4.33333	0	2	2	0	9.33333	4.66667	4.66667	2.16667	3.16667
XM_003085056	5.5	0.5	15	0	0	7.5	9	0	0	0	0	8	4	2	2.5	11.5
XM_003085063	51.7105	11.8533	15.98897	9.89253	15.65165	13.74977	8.96536	35.17482	34.13169	37.11011	52.23216	87.27793	68.57224	52.31928	36.08856	19.83484
XM_003085083	18.58333	9	3.33333	18.5	0	13.08333	0.25	18.33333	22.91667	38.41667	21	23.58333	22.58333	18.83333	5	6
XM_003085094	6.66667	3.33333	0	0	2.58333	0	0.33333	8	1	22.66667	6.66667	5.25	4.33333	0	0.33333	4
XM_003085104	0	0	0	0	13	0	0	0	6	0	0	0	0	0	0	15
XM_003085105	26	1	1	0	10	13	6	35.5	22	67	50	38.5	19.5	23	38	14
XM_003085106	18.16186	9.98663	15.59548	7.23791	4.05034	6.72058	1.85729	19.11786	19.95809	58.41446	34.29453	61.89398	34.59941	25.02018	23.40258	7.03587
XM_003085107	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
XM_003085114	3.38342	1.8	3.69091	1.2	0.375	0.18333	0.22222	25.56923	0.17692	2.725	7.89091	0.8	3.59091	3	5.41111	0.18803
XM_003085118	0	0	0	0	0	0.55213	0.14286	3.26667	0.45098	0.49755	0.03333	0	0	0	0	0.24074
XM_003085120	0	0.32222	22	1.19905	7.07569	31.4286	2.37663	4.56197	2.48831	2.88522	11.79389	0.86233	26.87222	1.59434	1.41783	10.32499
XM_003085121	61.35	25.03333	37.91667	24.13333	9.81667	14.68333	13.25	52.26667	24.65	52.8	32.8	73.41667	62.55	22.13333	22.46667	21.76667
XM_003085122	6	0	0	0	0	0	30	0	8	0	0	0	14	1	0	10
XM_003085130	0.49313	1.00179	3.7706	1.15206	11.51261	6.77885	3.29396	4.30438	15.94685	2.47178	8.28784	1.81943	2.58379	0.84615	7.49594	0.30769
XM_003085131	0.49313	1.00179	3.7706	1.15206	11.51261	6.77885	3.29396	4.30438	15.94685	2.47178	8.28784	1.81943	2.58379	0.84615	7.49594	0.30769
